"label","n","parent","id"
"Denmark",122," Adventure"," Adventure  -  Denmark"
"Denmark",58," Animation"," Animation  -  Denmark"
"Denmark",14," Biography"," Biography  -  Denmark"
"Denmark",189," Comedy"," Comedy  -  Denmark"
"Denmark",149," Crime"," Crime  -  Denmark"
"Denmark",29," Documentary"," Documentary  -  Denmark"
"Denmark",303," Drama"," Drama  -  Denmark"
"Denmark",21," Family"," Family  -  Denmark"
"Denmark",40," Fantasy"," Fantasy  -  Denmark"
"Denmark",5," Film Noir"," Film Noir  -  Denmark"
"Denmark",11," Game Show"," Game Show  -  Denmark"
"Denmark",3," History"," History  -  Denmark"
"Denmark",26," Horror"," Horror  -  Denmark"
"Denmark",2," Music"," Music  -  Denmark"
"Denmark",55," Mystery"," Mystery  -  Denmark"
"Denmark",25," Reality TV"," Reality TV  -  Denmark"
"Denmark",77," Romance"," Romance  -  Denmark"
"Denmark",25," Sci Fi"," Sci Fi  -  Denmark"
"Denmark",3," Short"," Short  -  Denmark"
"Denmark",15," Sport"," Sport  -  Denmark"
"Denmark",7," Talk Show"," Talk Show  -  Denmark"
"Denmark",59," Thriller"," Thriller  -  Denmark"
"Denmark",9," War"," War  -  Denmark"
"Denmark",7," Western"," Western  -  Denmark"
"Dominican Republic",180," Action"," Action  -  Dominican Republic"
"Dominican Republic",1," Adult"," Adult  -  Dominican Republic"
"Dominican Republic",104," Adventure"," Adventure  -  Dominican Republic"
"Dominican Republic",51," Animation"," Animation  -  Dominican Republic"
"Dominican Republic",3," Biography"," Biography  -  Dominican Republic"
"Dominican Republic",158," Comedy"," Comedy  -  Dominican Republic"
"Dominican Republic",117," Crime"," Crime  -  Dominican Republic"
"Dominican Republic",15," Documentary"," Documentary  -  Dominican Republic"
"Dominican Republic",283," Drama"," Drama  -  Dominican Republic"
"Dominican Republic",14," Family"," Family  -  Dominican Republic"
"Dominican Republic",38," Fantasy"," Fantasy  -  Dominican Republic"
"Dominican Republic",4," Film Noir"," Film Noir  -  Dominican Republic"
"Dominican Republic",2," Game Show"," Game Show  -  Dominican Republic"
"Dominican Republic",32," Horror"," Horror  -  Dominican Republic"
"Dominican Republic",35," Music"," Music  -  Dominican Republic"
"Dominican Republic",41," Mystery"," Mystery  -  Dominican Republic"
"Dominican Republic",3," Reality TV"," Reality TV  -  Dominican Republic"
"Dominican Republic",77," Romance"," Romance  -  Dominican Republic"
"Dominican Republic",21," Sci Fi"," Sci Fi  -  Dominican Republic"
"Dominican Republic",2," Short"," Short  -  Dominican Republic"
"Dominican Republic",11," Sport"," Sport  -  Dominican Republic"
"Dominican Republic",5," Talk Show"," Talk Show  -  Dominican Republic"
"Dominican Republic",68," Thriller"," Thriller  -  Dominican Republic"
"Dominican Republic",2," War"," War  -  Dominican Republic"
"Ecuador",146," Action"," Action  -  Ecuador"
"Ecuador",1," Adult"," Adult  -  Ecuador"
"Ecuador",119," Adventure"," Adventure  -  Ecuador"
"Ecuador",70," Animation"," Animation  -  Ecuador"
"Ecuador",1," Biography"," Biography  -  Ecuador"
"Ecuador",209," Comedy"," Comedy  -  Ecuador"
"Ecuador",84," Crime"," Crime  -  Ecuador"
"Ecuador",9," Documentary"," Documentary  -  Ecuador"
"Ecuador",271," Drama"," Drama  -  Ecuador"
"Ecuador",13," Family"," Family  -  Ecuador"
"Ecuador",30," Fantasy"," Fantasy  -  Ecuador"
"Ecuador",4," Film Noir"," Film Noir  -  Ecuador"
"Ecuador",1," History"," History  -  Ecuador"
"Ecuador",32," Horror"," Horror  -  Ecuador"
"Ecuador",34," Music"," Music  -  Ecuador"
"Ecuador",38," Mystery"," Mystery  -  Ecuador"
"Ecuador",3," Reality TV"," Reality TV  -  Ecuador"
"Ecuador",100," Romance"," Romance  -  Ecuador"
"Ecuador",21," Sci Fi"," Sci Fi  -  Ecuador"
"Ecuador",11," Sport"," Sport  -  Ecuador"
