"id","n","label","parent"
"total  -   Mystery  -  Honduras",43,"Honduras","total  -   Mystery"
"total  -   Romance  -  Honduras",120,"Honduras","total  -   Romance"
"total  -   Thriller  -  Honduras",67,"Honduras","total  -   Thriller"
"total  -   Action  -  Hong Kong",237,"Hong Kong","total  -   Action"
"total  -   Adventure  -  Hong Kong",117,"Hong Kong","total  -   Adventure"
"total  -   Comedy  -  Hong Kong",154,"Hong Kong","total  -   Comedy"
"total  -   Crime  -  Hong Kong",116,"Hong Kong","total  -   Crime"
"total  -   Drama  -  Hong Kong",338,"Hong Kong","total  -   Drama"
"total  -   Fantasy  -  Hong Kong",53,"Hong Kong","total  -   Fantasy"
"total  -   Mystery  -  Hong Kong",76,"Hong Kong","total  -   Mystery"
"total  -   Romance  -  Hong Kong",105,"Hong Kong","total  -   Romance"
"total  -   Sci Fi  -  Hong Kong",62,"Hong Kong","total  -   Sci Fi"
"total  -   Thriller  -  Hong Kong",74,"Hong Kong","total  -   Thriller"
"total  -   Action  -  Hungary",188,"Hungary","total  -   Action"
"total  -   Adventure  -  Hungary",123,"Hungary","total  -   Adventure"
"total  -   Animation  -  Hungary",68,"Hungary","total  -   Animation"
"total  -   Comedy  -  Hungary",198,"Hungary","total  -   Comedy"
"total  -   Crime  -  Hungary",136,"Hungary","total  -   Crime"
"total  -   Drama  -  Hungary",299,"Hungary","total  -   Drama"
"total  -   Fantasy  -  Hungary",42,"Hungary","total  -   Fantasy"
"total  -   Mystery  -  Hungary",52,"Hungary","total  -   Mystery"
"total  -   Romance  -  Hungary",80,"Hungary","total  -   Romance"
"total  -   Thriller  -  Hungary",53,"Hungary","total  -   Thriller"
"total  -   Action  -  Iceland",180,"Iceland","total  -   Action"
"total  -   Adventure  -  Iceland",124,"Iceland","total  -   Adventure"
"total  -   Animation  -  Iceland",53,"Iceland","total  -   Animation"
"total  -   Comedy  -  Iceland",198,"Iceland","total  -   Comedy"
"total  -   Crime  -  Iceland",134,"Iceland","total  -   Crime"
"total  -   Drama  -  Iceland",279,"Iceland","total  -   Drama"
"total  -   Mystery  -  Iceland",51,"Iceland","total  -   Mystery"
"total  -   Romance  -  Iceland",76,"Iceland","total  -   Romance"
"total  -   Sci Fi  -  Iceland",52,"Iceland","total  -   Sci Fi"
"total  -   Thriller  -  Iceland",51,"Iceland","total  -   Thriller"
"total  -   Action  -  India",266,"India","total  -   Action"
"total  -   Adventure  -  India",80,"India","total  -   Adventure"
"total  -   Comedy  -  India",186,"India","total  -   Comedy"
"total  -   Crime  -  India",201,"India","total  -   Crime"
"total  -   Drama  -  India",355,"India","total  -   Drama"
"total  -   Fantasy  -  India",44,"India","total  -   Fantasy"
"total  -   Horror  -  India",29,"India","total  -   Horror"
"total  -   Mystery  -  India",71,"India","total  -   Mystery"
"total  -   Romance  -  India",78,"India","total  -   Romance"
"total  -   Thriller  -  India",75,"India","total  -   Thriller"
"total  -   Action  -  Indonesia",201,"Indonesia","total  -   Action"
"total  -   Adventure  -  Indonesia",95,"Indonesia","total  -   Adventure"
"total  -   Comedy  -  Indonesia",188,"Indonesia","total  -   Comedy"
